"Código Impuesto","Código Régimen","Código Condición"
767,12,"00"
767,13,"00"
767,15,"00"
767,16,"00"
767,17,"00"
767,18,"00"
217,19,"01"
217,19,"02"
217,21,"01"
217,21,"02"
217,22,"00"
217,23,"00"
217,24,"00"
217,25,"01"
217,25,"02"
217,26,"00"
217,28,"00"
217,30,"01"
217,30,"02"
217,31,"01"
217,31,"02"
217,35,"02"
217,35,"01"
217,40,"01"
217,43,"02"
217,43,"01"
217,46,"00"
217,51,"01"
217,51,"02"
217,53,"02"
217,53,"01"
217,55,"01"
217,55,"02"
787,56,"00"
217,60,"00"
217,61,"00"
217,69,"00"
217,70,"00"
217,71,"00"
217,78,"02"
217,78,"01"
217,80,"02"
217,80,"01"
217,81,"01"
217,81,"02"
217,82,"01"
217,82,"02"
217,83,"01"
217,83,"02"
217,86,"01"
217,86,"02"
217,94,"02"
217,94,"01"
217,95,"02"
217,95,"01"
217,99,"01"
217,110,"01"
217,110,"02"
217,111,"01"
217,111,"02"
217,112,"02"
217,112,"01"
217,113,"02"
217,113,"01"
217,116,"01"
217,116,"02"
217,117,"01"
217,118,"01"
767,121,"00"
767,122,"00"
767,123,"00"
217,124,"02"
217,124,"01"
767,125,"00"
767,126,"00"
767,127,"00"
767,128,"00"
767,129,"00"
767,130,"00"
767,131,"00"
767,136,"00"
767,137,"00"
767,138,"00"
767,139,"00"
767,140,"00"
767,141,"00"
767,142,"00"
767,143,"00"
767,144,"00"
767,145,"00"
767,146,"00"
767,147,"00"
767,150,"00"
767,151,"00"
767,152,"00"
767,153,"00"
767,154,"00"
767,155,"00"
767,156,"00"
767,157,"00"
767,158,"00"
787,160,"01"
217,178,"01"
217,179,"02"
767,181,"00"
767,182,"00"
767,183,"00"
767,184,"00"
767,185,"00"
767,186,"00"
767,187,"00"
767,188,"00"
767,189,"00"
767,190,"00"
217,191,"02"
217,191,"01"
217,192,"02"
217,192,"01"
217,193,"01"
217,193,"02"
217,196,"00"
767,201,"00"
767,202,"00"
767,203,"00"
767,204,"00"
767,205,"00"
767,206,"00"
767,207,"00"
767,208,"00"
767,209,"00"
767,210,"00"
767,211,"00"
767,212,"00"
217,213,"01"
767,214,"00"
767,215,"00"
767,216,"00"
767,217,"00"
767,218,"00"
767,219,"00"
767,225,"01"
767,233,"03"
767,233,"01"
767,234,"02"
217,235,"02"
217,235,"01"
217,237,"00"
217,240,"02"
217,240,"01"
767,250,"00"
767,252,"01"
767,252,"03"
767,253,"03"
767,253,"01"
767,254,"01"
767,255,"01"
767,257,"03"
767,257,"01"
767,258,"01"
767,258,"03"
767,260,"03"
767,260,"01"
767,261,"03"
767,261,"01"
767,263,"00"
767,264,"00"
767,265,"01"
767,265,"02"
767,265,"03"
767,265,"02"
767,265,"03"
767,265,"01"
767,267,"02"
767,267,"03"
767,267,"01"
767,268,"03"
767,270,12
767,270,13
767,270,14
767,280,"00"
767,281,"00"
767,282,"00"
767,283,"00"
767,284,"00"
767,285,"00"
767,286,"00"
767,287,"00"
767,288,"00"
767,289,"00"
767,290,"00"
767,291,"00"
767,292,"00"
767,293,"00"
767,294,"00"
767,295,"00"
767,296,"00"
767,297,"00"
767,298,"00"
767,299,"00"
767,300,"00"
172,302,"00"
219,371,"01"
219,371,"02"
217,372,"01"
217,372,"02"
767,419,"00"
767,420,"00"
767,421,"00"
767,422,"00"
767,423,"00"
767,424,"00"
767,425,"00"
767,426,"00"
767,427,"00"
217,428,"00"
217,429,"00"
217,430,"00"
767,431,"00"
767,432,"00"
767,433,"00"
466,434,"00"
767,435,"00"
767,436,"00"
767,437,"00"
767,438,"00"
767,439,"00"
767,440,"00"
767,441,"00"
767,443,"00"
767,444,"00"
767,445,"00"
767,493,"00"
767,499,"01"
217,531,"01"
217,531,"02"
767,583,"00"
767,584,"00"
767,585,"00"
219,591,"00"
217,592,"00"
219,593,"00"
217,594,"00"
219,595,"00"
217,596,"00"
219,597,"00"
217,598,"00"
219,599,"00"
217,600,"00"
